quizGroup type="WordMapping" promptType="German word" responseType="English word" mainSeparator="|" currentPromptNumber="0" isActive="true"
sic|sic|
auf|on|
als|as|
noc|noc|
scholl|scholl|
ohn|ohn|
doc|doc|
alleln|alleln|
jen|jen|
dessau|dessau|
einig|agreed|
jed|jed|
währe|Währe|
sei|was|
damian|damian|
art|type|
band|band|
genagt|gnawed|
künsten|arts|
deren|their|
ging|was|
führet|leadeth|
eigentlich|actually|
hattedu|hattedu|
gemach|chamber|
damais|damais|
stan|stan|
geworden|become|
macht|power|
sah|saw|
einzige|single|
vielel|vielel|
zwar|indeed|
einmai|einmai|
dort|there|
kopf|head|
nahm|was|
dazu|to|
weg|off|
dabei|it|
einigen|some|
stellst|stellst|
geisha|geisha|
anderm|other things|
jedoch|however|
seh|see|
soll|shall|
vielleicht|perhaps|
zurücj|zurücj|
harris|harris|
persönlich|personally|
niemais|niemais|
diesel|diesel|
gehabe|affected behavior|
wisse|know|
gar|at all|
stelle|location|
verschiedene|various|
starik|starik|
selbem|the very same|
jeder|each|
form|form|
meineid|perjury|
fand|was|
nachdem|after|
scheins|note|
älter|older|
arme|poor|
gehörs|hearing|
dar|is|
folgen|follow|
sowie|as well as|
ähnlich|similar|
erklärst|explain|
vollkommen|completely|
schien|seemed|
sog|suction|
zeiten|times|
erhalt|receipt|
französin|Frenchwoman|
sage|legend|
stadt|city|
versucht|tries|
musici|musici|
blick|view|
schüler|student|
gehen|go|
begriff|term|
gebein|bones|
geistige|mental|
davon|of it|
ganze|all|
könnt|can|
schönheit|beauty|
darauf|thereon|
stund|stood|
bestimme|determine|
erzählst|tell|
liebe|dear|
erinnerns|Remembrance|
reich|rich|
vorstelle|imagine|
setzt|is|
letzten|last|
bemerkst|notice|
weit|far|
fühlst|feel|
aller|all|
gibt|are|
dennis|dennis|
möglich|possible|
gewiss|certainly|
kaum|hardly|
stehst|stand|
dafür|for|
werd|expectant|
schule|school|
schlacht|battle|
trotts|Trott|
heut|today|
älteste|oldest|
siehst|see|
knecht|servant|
daher|hence|
wichst|jerks|
brachst|broke|
anfang|beginning|
wegen|because of|
manch|some|
alter|age|
verlor|lost|
grieche|Greek|
derselbe|the same|
jose|jose|
erschien|appeared|
frühem|early|
obwohi|obwohi|
polen|Poland|
wollen|want|
gesicht|face|
stehe|am|
schließlich|finally|
darüber|above|
gebiert|gives birth|
höchste|highest|
hielt|was|
besondern|special|
regierst|reign|
versteh|understand|
teile|share|
tat|deed|
zog|moved|
berühmt|famous|
äußerst|extremely|
schönem|nice|
freiheit|freedom|
werke|plants|
zusammen|together|
völler|Voeller|
geführt|out|
einzelne|individual|
gegeben|given|
dacht|thought|
verstand|mind|
neben|next|
allgemeine|general|
eben|just|
findern|finders|
amt|office|
gefuhi|gefuhi|
genug|enough|
gerade|just|
politische|political|
eher|more|
kommst|get|
fragen|ask|
dritteil|third of|
besondere|special|
richtig|right|
behaupte|contend|
bess|bess|
stärken|strengthen|
deuter|deuter|
gesehen|seen|
hohen|high|
vater|father|
zeichen|sign|
erlebst|will experience|
