quizGroup type="WordMapping" promptType="English word" responseType="German word" currentPromptNumber="0"
perhaps|vielleicht
personally|persönlich
type|art
arts|künsten
gnawed|genagt
agreed|stimmte/ausgemacht/einverstanden/zugestimmt/einig
leads|führet
actually|eigentlich/tatsächlich
chamber|gemach
become|geworden
power|macht
saw|sahen/sah
single|einzige
indeed|zwar
there|dort/dorthin/daselbst
head|haupt/kopfe/kopfes/kopf
some|etliche/manches/gewisses/manch/gewisser/irgend/einiges/einigen/irgendeine
other things|anderm
however|hingegen/jedoch/dagegen
see|siehst/sehn/siehe/seh
shall|soll
affected behavior|gehabe
know|weisst/kennen/kennenzulernen/kenne/wüßte/weißt/wisse
location|stelle/lage
various|verschiedene
the very same|selbem
each|jeder/jedes
perjury|meineid
after|danach/nachdem
note|vermerks/scheins/beachten
older|älter
poor|arme/arm/armen
hearing|gehörs
follow|folgst/nachfolgen/verfolge/folgen
as well as|sowie
similar|ähnlich
explain|erläutere/erklärst/erkläre
completely|vollständig/vollkommen/gänzlich
seemed|vorkam/schien
suction|sog/saug
times|zeiten
receipt|erhalt
Frenchwoman|französin
legend|sage
city|stadt
tries|versucht
view|hinblick/erachtens/ansicht/blick/anzuzeigen/sicht/ausblick/einzusehen/aussicht
student|studierende/schüler/studentin/schülerin
go|fahren/hing/geh/gehe/gehen/zugehen
term|begriff
bones|gebein
mental|geistige/seelisch
of it|davon
all|sämtlich/ganze/gesamte/aller
can|darf/vermag/könnt/läßt/lässt
beauty|schönheit
thereon|darauf
stood|stund
determine|bestimme/festzustellen
tell|erzählst
dear|liebe
Remembrance|erinnerns
rich|reiche/sattem/reich
imagine|vorstelle
last|letzt/vergangen/zuletzt/dauern/letzten
notice|feststelle/merkst/bemerke/bemerkst/merke
far|weit
feel|empfinde/fühlst/spüre/verspüre/fühle/spürst
are|seid/gibt/bist
possible|mögliches/lichte/möglich/glich
certainly|gewiß/gewiss/sicherlich
hardly|kaum/schwerlich
stand|stehst
for|dafür/fürs
expectant|werd
school|schule
battle|schlacht/gefecht
Trott|trotts
today|heut
oldest|älteste
servant|knecht
hence|daher
jerks|wichst
broke|brachst/durchbrach/brach
beginning|anfang/beginn/beginnende
because of|wegen
age|zeitalter/alter/altern
lost|verlorenem/eingebüßt/verlor
Greek|grieche/griechin
the same|demselben/dasselbe/denselben/derselbe
appeared|tauchten/erschien
early|zeitig/früh/frühem
Poland|polen
want|wollen/wünschst
face|angesicht/gesicht
am|freue/stehe
finally|endlich/schließlich
above|darüber/oberhalb/oben/vorstehe
gives birth|gebiert
highest|höchste
special|besondern/besondere
reign|regierst
understand|versteh/verstehn/begreifst/begreife
share|teile/teilen
deed|tat
moved|einzog/zog/gerückt/bewog
famous|berühmt/berühmtes
extremely|überaus/äußerst
nice|schönem/nett/schöne/schön
freedom|freiheit
plants|werken/gewächse/werke
together|beisammen/zusammengefügt/zusammen/aneinander/gefügt/miteinander
Voeller|völler
out|draußen/raus/gelegt/hervor/geführt/heraus
individual|einzelne
given|eingeräumt/mitgegeben/angegeben/gegeben/geschenkt/zuteil/gegebener
thought|dacht/gedacht/gedanke
mind|verstand/gemüt
next|neben/nächste
general|generell/allgemein/allgemeine/heerführer
just|knapp/halt/ausgerechnet/bloß/einfach/soeben/gerade/gerecht/eben
finders|findern
office|amt
enough|reicht/genug
political|politische/politisch
more|eher/länger/öfter/weiteren/weiterer/desto/weitere/weiteres/wich
get|hole/kriegt/kommst/bekommen
ask|fragen/bittest/fragst
third of|dritteil
right|richtig/rechtem/rechts
contend|behaupte
strengthen|stärken
seen|gesehen
high|hohen/hohem/hoher/hohes
father|vater/vaters/pater
sign|schild/anzeichen/zeichen
will experience|erlebst
reach|erreiche/erreichst
both|beides/sowohl
looking|weis
Shrimp|schrimp
of hand|überhand
by|anhand/seitens/indem/per
presumably|vermutlich
order|ordnung/auftrag/orden/bestellen
world war|weltkrieg
already|bereits
green|grün/grüne/grun/grüner
gave up|aufgab
appear|erscheinen
improve|verbessere/bessern
sorry|leid
participating|nehm
the part|seiten
except|ausgenommen/außer
almost|geradezu/beinahe/nahezu
detected|erfasse/erkannt/erfaßt
discover|entdeckst/entdecke
cried|schrie
science|wissenschaft
France|frankreich
several|mehrer
sought|begehr/angestrebt/gestrebt/suchte
do|kennst/tun/tue/tut/tust
other|andre/übrige/anderes/anderer
sets|legt
so-called|sogenannt
taken|eingenommen/gedauert/übernommen/genommen/mitgenommen/eingeschlagen
hold|festzuhalten/halten
short|kurzer/kurze
instead of|anstatt/statt/anstelle
public|öffentliche/öffentlich
sealing|dichtend
help|umhin/hilft/hilf
member|mitglied
friend|freund
steal from|bestehle
done|getan/angetan/geschieht/geschehe
rare|selten/seltenes
thereby|dadurch
change|wandel/verändern/wandeln/wechseln/ändere
set|einzustellen/festgesetzt/gesetzt/setze/untergegangen/festgelegt/vorgegeben
supports|unterstützt
thing|ding/sache
son|sohnes/sohn
mowed|gemäht
suddenly|plötzlich
fear|bangen/fürcht/fürchtest/befürchte/angst
Egypt|ägypten
internal|intern/interne/innere/innerlich
state|staatlichem/zustand/staat
you|dich/euch/dir
signifying|bedeutens
fighting|kämpfend/kämpf
Polish|polnische/polnisch
are striving|bemühst
house|haus
soldiers|soldaten
black|schwarze/schwarzer
week|woche
traveled|bereist/gereist
populate|bevölkere
Mr.|herr
partly|teils
staff|kräfte/stab/personell
describe|beschreibe
fulfill|erfüllst
different|anders/unterschiedlichem/verschied
word|vokabel/wort
education|bildung
namely|nämlich
written|geschrieben/aufgeschrieben
at the same time|zugleich
master|meister
former|vormalig/frühern/ehemalig
believe|glauben
work|werk
succeeded|gelang
border|grenze
ever|jemals
call|fordere/nenne/anruf/anrufs/nennst/aufruf/bezeichne/rufe
question|frage
ago|her
behind|dahinten/hinter/hinten
magic|zauber/magisch/magie
plays|spielt
of most important|wichtigst
destroy|zerstörst
once|einst
down|herunter/nieder/hin
mother|mutter
German|deutsch/deutscher
best|bestes/beste/besten
five|fünf
dark|dunkle/düstere/finsteres/dunkeln/finster
by sliding|unterschiebe
sense|sinn
century|jahrhundert
soul|seele
friends|freunde
fairest|schönst
centuries|jahrhunderte/jahrhunderten
White|weiße
considerably|wesentlich/beträchtlich
Roman|römer/römischer/römische
remove|entferne/abzunehmen/streichen
Wedel|wedels
Earth|erde
successfully|erfolgreich
first|erstes/erstem/zunächst/zuerst/erstmal
animals|tiere
words|worte/wörter
people|volk/volks
white|weiß
designating|bezeichnens
country|landes/länder/lande
difficult|schwer/schwie/schwieriges
foreign|fremder/fremde/ausländisch/fremd
equal|gleichberechtigt/ebenbürtig/gleich
male|männlich
chapter|kapitel
human|menschlich
investigate|untersuche
repeat|wiederhole
significance|bedeutung
success|erfolg
same|gleiche/elbe
space|weltall/raume/raum
happiness|glück
think|glaub/denke/nachzudenken/halte
fixed|festen/feste/fest
brought|geholt/mitgebracht/mitbrachte/hergebracht/gebracht
risk|gefahr
long|langer/lang/langen
figure|figur
says about men|männen
home|heimisch/hause/heim/heimat/eigenheim
often|häufig
War|krieges
looking forward|freu/freust
said|gesagt/sprach/sagten/sprachen/meint
moment|augenblick
have|habt/hab/hast
answer|beantworte/worten/antwort/antworte
pair|paar
piece|stücks/stück
defend|verteidigst
by virtue of|kraft
slowly|langsam
second|zweite/sekunde
image|abbild/bildes
come|gekommen/stammen
were|seien/trugen/fanden/lagen/warst/kamen
proud|stolz
probably|wahrscheinlich
picture|bild
permit|erlaube/erlaubst/gestatte
abide|bleibet
though|allerdings
unknown|unbekannt
died|verstarb/starb/gestorben
role|rolle
who|wer/wen/wem
described|beschrieb
rest|rast/ruh/ruhen
busy|betriebsam/beschäftige
long ago|längst
rather|lieber/vielmehr
