quizGroup type="WordMapping" promptType="English word" responseType="German word" mainSeparator="|" currentPromptNumber="0" isActive="true"
sic|sic|
on|auf|
as|als|
noc|noc|
scholl|scholl|
ohn|ohn|
doc|doc|
alleln|alleln|
jen|jen|
dessau|dessau|
agreed|einig|
jed|jed|
Währe|währe|
was|sei|
damian|damian|
type|art|
band|band|
gnawed|genagt|
arts|künsten|
their|deren|
was|ging|
leadeth|führet|
actually|eigentlich|
hattedu|hattedu|
chamber|gemach|
damais|damais|
stan|stan|
become|geworden|
power|macht|
saw|sah|
single|einzige|
vielel|vielel|
indeed|zwar|
einmai|einmai|
there|dort|
head|kopf|
was|nahm|
to|dazu|
off|weg|
it|dabei|
some|einigen|
stellst|stellst|
geisha|geisha|
other things|anderm|
however|jedoch|
see|seh|
shall|soll|
perhaps|vielleicht|
zurücj|zurücj|
harris|harris|
personally|persönlich|
niemais|niemais|
diesel|diesel|
affected behavior|gehabe|
know|wisse|
at all|gar|
location|stelle|
various|verschiedene|
starik|starik|
the very same|selbem|
each|jeder|
form|form|
perjury|meineid|
was|fand|
after|nachdem|
note|scheins|
older|älter|
poor|arme|
hearing|gehörs|
is|dar|
follow|folgen|
as well as|sowie|
similar|ähnlich|
explain|erklärst|
completely|vollkommen|
seemed|schien|
suction|sog|
times|zeiten|
receipt|erhalt|
Frenchwoman|französin|
legend|sage|
city|stadt|
tries|versucht|
musici|musici|
view|blick|
student|schüler|
go|gehen|
term|begriff|
bones|gebein|
mental|geistige|
of it|davon|
all|ganze|
can|könnt|
beauty|schönheit|
thereon|darauf|
stood|stund|
determine|bestimme|
tell|erzählst|
dear|liebe|
Remembrance|erinnerns|
rich|reich|
imagine|vorstelle|
is|setzt|
last|letzten|
notice|bemerkst|
far|weit|
feel|fühlst|
all|aller|
are|gibt|
dennis|dennis|
possible|möglich|
certainly|gewiss|
hardly|kaum|
stand|stehst|
for|dafür|
expectant|werd|
school|schule|
battle|schlacht|
Trott|trotts|
today|heut|
oldest|älteste|
see|siehst|
servant|knecht|
hence|daher|
jerks|wichst|
broke|brachst|
beginning|anfang|
because of|wegen|
some|manch|
age|alter|
lost|verlor|
Greek|grieche|
the same|derselbe|
jose|jose|
appeared|erschien|
early|frühem|
obwohi|obwohi|
Poland|polen|
want|wollen|
face|gesicht|
am|stehe|
finally|schließlich|
above|darüber|
gives birth|gebiert|
highest|höchste|
was|hielt|
special|besondern|
reign|regierst|
understand|versteh|
share|teile|
deed|tat|
moved|zog|
famous|berühmt|
extremely|äußerst|
nice|schönem|
freedom|freiheit|
plants|werke|
together|zusammen|
Voeller|völler|
out|geführt|
individual|einzelne|
given|gegeben|
thought|dacht|
mind|verstand|
next|neben|
general|allgemeine|
just|eben|
finders|findern|
office|amt|
gefuhi|gefuhi|
enough|genug|
just|gerade|
political|politische|
more|eher|
get|kommst|
ask|fragen|
third of|dritteil|
special|besondere|
right|richtig|
contend|behaupte|
bess|bess|
strengthen|stärken|
deuter|deuter|
seen|gesehen|
high|hohen|
father|vater|
sign|zeichen|
will experience|erlebst|
reach|erreichst|
both|sowohl|
looking|weis|
palace|palace|
Shrimp|schrimp|
of hand|überhand|
by|indem|
presumably|vermutlich|
order|orden|
world war|weltkrieg|
already|bereits|
green|grun|
thought|gedanke|
gave up|aufgab|
appear|erscheinen|
improve|verbessere|
sorry|leid|
participating|nehm|
on|fort|
the part|seiten|
absichre|absichre|
except|außer|
almost|beinahe|
detected|erkannt|
discover|entdeckst|
cried|schrie|
science|wissenschaft|
France|frankreich|
several|mehrer|
sought|suchte|
do|tun|
other|übrige|
sets|legt|
so-called|sogenannt|
taken|genommen|
hold|halten|
short|kurze|
instead of|statt|
public|öffentliche|
sealing|dichtend|
help|hilf|
follow|folgst|
member|mitglied|
last|vergangen|
friend|freund|
steal from|bestehle|
done|geschehe|
rare|selten|
thereby|dadurch|
just|einfach|
was|entstand|
change|verändern|
set|setze|
supports|unterstützt|
thing|ding|
son|sohn|
mowed|gemäht|
suddenly|plötzlich|
fear|angst|
statue|statue|
Egypt|ägypten|
set|gesetzt|
internal|innere|
was|trat|
August|august|
state|staat|
more|weitere|
possible|mögliches|
you|dir|
signifying|bedeutens|
fighting|kämpf|
Polish|polnische|
are striving|bemühst|
house|haus|
soldiers|soldaten|
black|schwarze|
week|woche|
traveled|bereist|
populate|bevölkere|
glaubs|glaubs|
Mr.|herr|
partly|teils|
staff|personell|
describe|beschreibe|
bring|bring|
fulfill|erfüllst|
vill|vill|
different|anders|
entwickeit|entwickeit|
together|gefügt|
word|wort|
other|anderer|
location|lage|
education|bildung|
more|länger|
namely|nämlich|
written|geschrieben|
lächein|lächein|
at the same time|zugleich|
master|meister|
is|handelt|
former|ehemalig|
believe|glauben|
work|werk|
get|bekommen|
succeeded|gelang|
border|grenze|
link|link|
ever|jemals|
call|fordere|
question|frage|
ago|her|
behind|hinter|
magic|magisch|
plays|spielt|
of most important|wichtigst|
destroy|zerstörst|
once|einst|
down|hin|
mother|mutter|
German|deutscher|
best|besten|
kinde|kinde|
five|fünf|
person|person|
dark|dunkle|
by sliding|unterschiebe|
sense|sinn|
century|jahrhundert|
soul|seele|
friends|freunde|
fairest|schönst|
centuries|jahrhunderten|
White|weiße|
considerably|wesentlich|
Roman|römische|
remove|entferne|
Wedel|wedels|
Earth|erde|
successfully|erfolgreich|
was|lag|
next|nächste|
first|zuerst|
you|dich|
is|heißt|
animals|tiere|
words|worte|
people|volk|
Kaiser|kaiser|
white|weiß|
designating|bezeichnens|
bish|bish|
country|länder|
difficult|schwer|
foreign|fremde|
equal|gleich|
male|männlich|
finally|endlich|
chapter|kapitel|
human|menschlich|
million|million|
investigate|untersuche|
repeat|wiederhole|
significance|bedeutung|
success|erfolg|
same|gleiche|
space|raum|
beginning|beginn|
geschaft|geschaft|
happiness|glück|
think|denke|
fixed|fest|
brought|gebracht|
risk|gefahr|
long|langen|
notice|merke|
figure|figur|
himmei|himmei|
says about men|männen|
home|hause|
often|häufig|
War|krieges|
staff|kräfte|
change|ändere|
jul|jul|
looking forward|freu|
said|meint|
moment|augenblick|
have|hast|
answer|antworte|
thought|gedacht|
pair|paar|
piece|stück|
defend|verteidigst|
by virtue of|kraft|
slowly|langsam|
second|zweite|
image|bildes|
to|gegenüber|
come|gekommen|
were|kamen|
standby|standby|
proud|stolz|
probably|wahrscheinlich|
picture|bild|
permit|erlaubst|
abide|bleibet|
rich|reiche|
nice|schöne|
though|allerdings|
beispiei|beispiei|
unknown|unbekannt|
died|starb|
role|rolle|
who|wer|
long|lang|
described|beschrieb|
rest|ruh|
tocher|tocher|
busy|beschäftige|
long ago|längst|
rather|vielmehr|
closed|geschlossen|
closer|näher|
verwandele|verwandele|
fully|voll|
erhieit|erhieit|
hoh|hoh|
first|zunächst|
dominant|beherrsche|
heavy|schwerem|
widen|verbreitern|
behaves|verhält|
great|spitze|
expression|ausdruck|
just|bloß|
Edit|bearbeite|
also|außerdem|
development|entwicklung|
unite|vereinige|
waste|wüst|
drawing|zeichnung|
saint|heilige|
innerhaib|innerhaib|
opinion|meinung|
recommended|empfahl|
think|glaub|
later|späterem|
was|bekam|
enables|ermögliche|
country|landes|
move|bewegst|
known|kannt|
why|warum|
said|gesagt|
man|mensch|
must|mussen|
hero|held|
urban|städte|
share|teilen|
leave|verlas|
drawn|gezogen|
heads|opfe|
assure|versichere|
stock|bestand|
hoc|hoc|
truth|wahrheit|
Alexander|alexander|
threaten|bedrohst|
remain|bleiben|
rule|herrschaft|
schneii|schneii|
takes|dauert|
life|lebens|
attack|angriff|
before|ehe|
last|letzt|
free|frei|
month|monat|
thousand|tausend|
sentencing|verurteile|
will|wille|
target|ziel|
ask|fragst|
viewing|betrachtens|
the same|demselben|
conquer|erobern|
peace|frieden|
clothing|kleidung|
night|nacht|
new|neu|
Today|heutige|
holds|hält|
agreed|stimmte|
form|gestalt|
character|gepräge|
Reasons|gründe|
called|rief|
you|euch|
youth|jugend|
above|oben|
countries|ländern|
will|nimmt|
working|arbeitest|
mean|bedeute|
Please|bitte|
arises|entstehe|
seriously|ernst|
italiae|italiae|
teacher|lehrer|
slight|leichte|
to|sollen|
speak|spreche|
bear with|vertragt|
wass|wass|
notifying|mitteile|
republic|republic|
cause|ursache|
expectation|erwartens|
trap|falle|
occupied|besetzt|
women|frauen|
our|unserem|
European|europäisch|
plants|werken|
Handel|händel|
true|wahr|
medium|mittel|
length|weite|
while|weile|
contemplation|betrachtung|
darien|darien|
farmstead|gehöft|
should like|möcht|
it|daraus|
know|kennen|
providers|leister|
lessons|unterricht|
started|fing|
lie|lieg|
order|ordnung|
handoff|reichens|
wenigst|wenigst|
pictures|bilder|
following|fol|
squad|trupp|
the one|diejenige|
line|linie|
message|nachricht|
nice|schön|
show|weisen|
search|gesucht|
historically|historisch|
higher|höher|
numerous|zahlreich|
screens|siebe|
besteh|besteh|
libretto|büchel|
conversation|gespräch|
size|größe|
was|hieß|
top|oberste|
games|spiele|
hands|hände|
according to|laut|
official|offizielle|
see|siehe|
the same|denselben|
befriends|freundet|
hair|haare|
gladly|gern|
more|weiteren|
confirm|bestätige|
win|gewinnen|
inverters|richtern|
was|trug|
sure|sicher|
dungeon|verlies|
Report|berichtes|
geschähe|geschähe|
slightly|leicht|
end|beenden|
ability|fähigkeit|
leading|führend|
money|geld|
opportunity|gelegenheit|
near|nahe|
unusual|ungewöhnlich|
prevent|verhindere|
authority|behörde|
read|lesen|
was|befand|
experience|erfahre|
hee|hee|
constantly|ständig|
run|laufe|
enthusiastic|begeistere|
touch|berührst|
was|fiel|
given way|gewichen|
call|nenne|
place|platz|
schicksai|schicksai|
style|stil|
complementizer|ergänzer|
fall|fällst|
sec|sec|
wear|trage|
injured|verletzt|
fourth|viertem|
each|jedes|
by no means|keineswegs|
surprising|verwundern|
Greece|griechenland|
bode|bode|
real|echt|
erzähi|erzähi|
hears|hört|
particularly|insbesondere|
sons|sons|
day|tages|
end up|endest|
decide|entscheide|
red|rote|
Taking|bilde|
do|kennst|
recently|letztens|
point|punkt|
callus|schwiele|
request|wunsch|
heart|herzen|
hear|höre|
desperate|verzweifel|
before|vorher|
presented|vorgestellt|
Europe|europa|
row|reih|
number|zahl|
conditions|zustände|
be presented in|gestellen|
proximity|nähe|
visit|besuch|
then|dahin|
church|kirche|
visible|sichtbar|
dream|traum|
old|alt|
recognize|erkenne|
forever|ewig|
reason|grunde|
die|sterben|
preparatory|vorbereite|
violently|heftig|
stones|steine|
is|dient|
dead|tote|
viewed|angesehen|
participate|beteilige|
low|geringem|
rather|lieber|
carefully|sorg|
final|endgültig|
against|entgegen|
learned|erfuhr|
constructed|errichte|
was|galt|
rule|herrsche|
realize|verwirkliche|
because|aufgrund|
stone|stein|
best|beste|
center|mitte|
serving|dien|
feel|empfinde|
learn|lernst|
Russian|russische|
November|november|
province|provinz|
gegenteii|gegenteii|
golden|golden|
Servant|knechtes|
ortega|ortega|
thing|sache|
Mess|verwirre|
wuchre|wuchre|
September|september|
closing|schliess|
used|eingesetzt|
created|geschaffen|
IN QUESTION|handele|
lasted|hinzog|
new|neues|
difficult|schwieriges|
ban|verbot|
added|angefügt|
ante|ante|
rose|erhob|
tomorrow|morgen|
open|offene|
ten|zehn|
last|zuletzt|
before|zuvor|
are thinking about|überlegst|
are|bist|
breast|brust|
use|gebrauch|
height|höhe|
circumstances|umstände|
undertake|verpflichte|
satisfied|zufrieden|
mr|herrn|
October|oktober|
your|dein|
simultaneously|gleichzeitig|
center|mittig|
direction|richtung|
composite|verbund|
lose|verlier|
effect|wirkung|
reread|überlas|
significant|bedeutendem|
decided|beschloss|
inserted|eingefügt|
reach|erreiche|
is|gilt|
Hinault|hinault|
enough|reicht|
house-elf|hauself|
talk|reden|
feet|füße|
ADD TO|beliebst|
missing|fehlt|
dangerous|gefährlich|
clear|klar|
girl|mädchen|
represent|vertrete|
answer|worten|
property|eigenschaft|
educated|gebilde|
some|manches|
by name|namentlich|
said|sprach|
your|deinem|
could|dürfe|
founded|gegründet|
actually|tatsächlich|
below|unten|
recorded|aufgenommen|
case|fall|
group|gruppe|
counting|zählst|
large|groß|
